,Line_Lyrics
4618,we got something better
4619,got that real groove baby
4620,real groove real groove
4621,we we got that real groove ah
4622,lets go ah 
4623,duas got that real groove
4624,kylie
4625,woo woo
4626,real groove real groove
4627,we we got that real groove ah
4628,i got that real groove real groove
4629,we we got that real groove ah
4630,i saw you dancing with somebody
4631,looking like me and you
4632,she know how to party
4633,but nothing like me and you
4634,got that perfect body
4635,but she aint got the moves
4636,we got something better
4637,got that real groove baby
4638,dancing with somebody
4639,looking like me and you
4640,she know how to party
4641,but nothing like me and you
4642,got that perfect body
4643,but she aint got the moves
4644,we got something better
4645,got that real groove baby
4646,dancing with somebody
4647,looking like me and you 
4648,she know how to party
4649,but nothing like me and you 
4650,got that perfect body
4651,but she aint got the moves 
4652,we got something better
4653,got that real groove baby
4654,studio 2054
4655,that real groove baby
4656,뱉은 숨을 마신 뒤 한숨만 남겨뒀지
4657,네가 나를 떠난 뒤 오늘만 살게 됐지
4658,round and round and round
4659,빌어 네가 뒤돌아보길
4660,sound that makes me high and low
4661,날 보러 와줘 
4662,만나도 문제겠지
4663,어떤 말도 없겠으니
4664,그저 마주한 채로 oh oh oh
4665,behind the mask yeah who yeah
4666,i wonder if youre smiling
4667,who yeah ooh yeah
4668,i wonder if youre crying
4669,let me ask in the mask
4670,im lonely but if youre trying
4671,say yes ooh yeah
4672,빛을 내기 위해서 나는 다 타버렸어
4673,오직 너를 위해서 내일도 버티겠어
4674,round and round and round
4675,믿어 네가 날 알아보길
4676,sound that makes me high and low
4677,기억해내길
4678,눈물 젖어 있겠지
4679,숨을 머금은 채로
4680,나만 바라보면서 oh oh oh
4681,behind the mask yeah who yeah
4682,i wonder if youre smiling
4683,who yeah ooh yeah
4684,i wonder if youre crying
4685,let me ask in the mask
4686,im lonely but if youre trying
4687,say yes ooh yeah
4688,ooh ooh ooh ooh
4689,내 이름을 불러줘
4690,ooh ooh ooh ooh
4691,예전처럼 once again
4692,ooh ooh ooh ooh
4693,거리를 좁혀줘
4694,운명처럼 twice again
4695,rain and pain are falling down
4696,but dont cry it will dry
4697,보고 싶어 조금 더 가까이 yeah
4698,no mattеr what they say
4699,behind the tеxt yeah who yeah
4700,behind the mask yeah who yeah
4701,i wonder if youre smiling
4702,who yeah ooh yeah
4703,i wonder if youre crying
4704,let me ask in the mask
4705,im lonely but if youre trying
4706,say yes ooh yeah
4707,ooh ooh ooh ooh
4708,내 이름을 불러줘
4709,ooh ooh ooh ooh
4710,예전처럼 once again
4711,ooh ooh ooh ooh
4712,거리를 좁혀줘
4713,운명처럼 twice again
4714,behind the mask yeah who yeah
4715,what are we waiting for 
4716,are you in or out 
4717,finally i can see what my heart needs now
4718,i believe you and me
4719,we can work somehow
4720,eh eh eh eh
4721,hold my hand
4722,take a risk til it all falls down
4723,is it a sin to commit 
4724,if so help me now
4725,whats a day without a kiss 
4726,can we live out loud 
4727,all we ever do is night time lately
4728,ive been waiting for a lifetime for too long
4729,ive been waiting for the right time baby
4730,i wanna be yours 
4731,i wanna be everything you ever dreamed of
4732,i wanna be yours 
4733,are you lookin at anybody else 
4734,because i wanna be yours
4735, yours
4736, yours
4737,i wanna be yours
4738,hoo ooh ooh ooh ooh
4739,feel the rush when we touch
4740,electricity
4741,feel the heat light me up
4742,one hundred degrees
4743,this is more than the crush
4744,it was meant to be
4745,all we ever do is night time lately
4746,ive been waiting for a lifetime for too long
4747,ive been waiting for the right time baby
4748,i wanna be yours 
4749,i wanna be everything you ever dreamed of
4750,i wanna be yours 
4751,are you lookin at anybody else 
4752,because i wanna be yours
4753, yours
4754, youry
4755,i wanna be yours
4756,hoo ooh ooh ooh ooh
4757,i dont wanna be that i dont wanna be that
4758,favorite drunken call
4759,oh say you will be mine
4760,say you will be mine
4761,i wanna be yours 
4762,i wanna be everything you ever dreamed of
4763,i wanna be yours 
4764,are you lookin at anybody else 
4765,because i wanna be yours
4766, youry
4767, youry
4768,i wanna be yours
4769,hoo ooh ooh ooh ooh
4770,one two three 
4771,all i can ever be to you is the darkness that we knew
4772,and this regret ive got accustomed to
4773,once it was so right
4774,we were at our high
4775,waiting for you in the hotel at night
4776,and knew i hadnt met my match
4777,but every moment we could snatch
4778,i dont know why i got so attached
4779,its my responsibility
4780,and you dont owe nothing to me but to walk away
4781,i have no capacity
4782,he walks away the sun goes down
4783,he takes the day but im grown
4784,and in your way in this blue shade
4785,my tears dry on their own
4786,i dont understand
4787,why do i stress the man when theres so many bigger things at hand 
4788,we coulda never had it all
4789,we had to hit a wall
4790,so this is inevitable withdrawal
4791,even if i stop wanting you
4792,a perspective pushes through
4793,ill be some next mans other woman soon
4794,i cannot play myself again
4795,i should just be my own best friend
4796,not fuck myself in the head with stupid men
4797,she walks away the sun goes down
4798,she takes the day but im grown
4799,and in your way in this blue shade
4800,my tears dry on their own
4801,so we are history
4802,your shadow covers me
4803,the sky above a blaze
4804,i could say no regrets
4805,and no emotional debts
4806,cause as we kiss goodbye the sun sets
4807,so we are history
4808,the shadow covers me
4809,the sky above a blaze only lovers see
4810,he walks away the sun goes down
4811,he takes the day but im grown
4812,and in your way in this blue shade
4813,my tears dry on their own
4814,he walks away the sun goes down
4815,she takes the day but im grown
4816,and in your way and my deep shade
4817,my tears dry on their own babe
4818,my tears dry on their own
4819,mmm
4820,ive been winnin since i left you left you
4821,and you think you sick now you bout to get much sicker
4822,cause im lookin in the mirror and that ass got thicker
4823,bacon baby heres whats poppin rich with six plus figures
4824,ive been there ive been here i just hustle low and pray
4825,got a lot up on my plate takin meetings in la
4826,glowin up and blowin up thats what im bout to do
4827,when its all been happenin since i left you
4828,you call me all friendly
4829,tellin me how much you miss me
4830,thats funny i guess youve heard my songs
4831,well im too busy for your business
4832,go find a girl who wants to listen
4833,cause if you think i was born yesterday
4834,you have got me wrong
4835,so i cut you off i dont need your love
4836,cause i already cried enough
4837,ive been done ive been movin on
4838,since we said goodbye
4839,i cut you off i dont need your love
4840,so you can try all you want
4841,your time is up ill tell you why
4842,you say youre sorry but its too late now
4843,so save it get gone shut up
4844,cause if you think i care about you now
4845,well boy i dont give a fuck
4846,i remember that weekend
4847,when my best friend caught you creepin
4848,you blamed it all on the alcohol so
4849,i made my decision
4850,cause you made your bed sleep in it
4851,play the victim and switch your position
4852,im through im done
4853,so i cut you off i dont need your love
4854,cause i already cried enough
4855,ive been done ive been movin on
4856,since we said goodbye
4857,i cut you off i dont need your love
4858,so you can try all you want
4859,your time is up ill tell you why
4860,you say youre sorry but its too late now
4861,so save it get gone shut up
4862,cause if you think i care about you now
4863,well boy i dont give a fuck
4864,i see you tryna get to me
4865,i see you beggin on your knees
4866,boy i dont give a fuck
4867,so stop tryna get to me
4868,get up off your knees cause
4869,boy i dont give a fuck
4870,how it feel how it feel how it feel 
4871,sign off on our connection then i sign onto a deal
4872,shoulda kept it hunnid man you shoulda kept it real
4873,cause i realized you fake and you lost all your appeal
4874,it dont hurt when i see you with her
4875,you was always insecure and believed what you heard
4876,cause youve seen that all these niggas tryna see when its they turn
4877,but i dont need a cuddle buddy i just cuddle with my fur
4878,cut you off i dont need your love
4879,so you can try all you want
4880,your time is up ill tell you why 
4881,you say youre sorry but its too late now
4882,so save it get gone shut up 
4883,cause if you think i care about you now
4884,well boy i dont give a fuck 
4885,i see you tryna get to me
4886,i see you beggin on your knees
4887,boy i dont give a fuck
4888,so stop tryna get to me 
4889,get up off your knees cause
4890,boy i dont give a fuck
4891,if you were standing on a corner with no money in your pants
4892,and life fell apart id hold out on my hand to you
4893,the best and the worse things in life come free
4894,but you can think of me as your best guarantee
4895,its true im here for you
4896,and if you just breathed your last breath
4897,id give you my air til i had nothing left
4898,id never let you go
4899,if you were on the edge of a bridge
4900,id push you to live
4901,im your parachute dont you ever forget
4902,and if you get the chance to return the gift
4903,promise me youll save someone
4904,if you can if you can
4905,save someone
4906,understand understand
4907,some have been chosen to wake up the broken
4908,so promise you wont turn away
4909,oh save someone
4910,like a child underneath the light afraid of monsters in the night
4911,ill hold you til the dawn til theyre gone no fight for you
4912,id fight for you
4913,when youre drowing in your tears and no one answers your prays
4914,ill be the boat to keep you afloat my dear
4915,and if you get the chance to return the gift
4916,promise me youll save someone
4917,if you can if you can
4918,save someone
4919,understand understand
4920,some have been chosen to wake up the broken
4921,so promise you wont turn away
4922,oh save someone
4923,when youre alone in the darkest nights im there for you
4924,when you feel like youre about to cry im there for you
4925,i know you got so much strength inside
4926,if i ask you would you save me tonight 
4927,promise me youll save someone
4928,if you can if you can
4929,save someone
4930,understand understand
4931,some have been chosen to wake up the broken
4932,so promise you wont turn away
4933,oh save someone
4934,you dont know what youve lost til its gone
4935,you cant hear the silence up to this lung
4936,you cant tie heartstrings when theyre left undone
4937,you cant go back when youve left too long
4938,i tried to push us to the very end
4939,i needed a lover more than a friend
4940,but i hit the limit i didnt intend
4941,and i just wanna make amends
4942,wish that you would hold on hold on hold on hold onto me
4943,hold on hold on hold on hold onto me
4944,hold on hold on hold on hold onto me now yeah
4945,i put myself between a bullet and a heartbreak
4946,and now im staring at the emptiness that ive made
4947,i put myself between a bullet and a heartbreak
4948,and all i wanted was you but i shot love down down down
4949,down down down down
4950,in the darkness i hear your voice
4951,memories of us i feel destroyed
4952,my mind is playing tricks and i have no choice
4953,without you my heart makes no noise
4954,wish that you would hold on hold on hold on hold onto me
4955,hold on hold on hold on hold onto me
4956,hold on hold on hold on hold onto me now yeah
4957,i put myself between a bullet and a heartbreak
4958,and now im staring at the emptiness that ive made
4959,i put myself between a bullet and a heartbreak
4960,and all i wanted was you but i shot love down down down
4961,down down down down
4962,all i needed was you
4963,all i wanted was you
4964,all i needed was you
4965,i put myself between a bullet and a heartbreak
4966,and now im staring at the emptiness that ive made
4967,i put myself between a bullet and a heartbreak
4968,and all i wanted was you but i shot love down down down
4969,down down down down
4970,talking in my sleep at night making myself crazy
4971,wrote it down and read it out hoping it would save me
4972,my love he makes me feel like nobody else nobody else
4973,but my love he doesnt love me so i tell myself i tell myself 
4974,one dont pick up the phone
4975,you know hes only calling cause hes drunk and alone
4976,two dont let him in
4977,youll have to kick him out again
4978,three dont be his friend
4979,you know youre gonna wake up in his bed in the morning
4980,and if youre under him you aint getting over him
4981,ive got new rules i count em
4982,ive got new rules i count em
4983,are you that somebody 
4984,tell me are you that somebody 
4985,ive got new rules i count em
4986,are you that somebody 
4987,ive gotta tell them to myself
4988,i keep pushing forwards but he keeps pulling me backwards
4989,now im standing back from it i finally see the pattern
4990,but my love he doesnt love me so i tell myself i tell myself
4991,i do i do i do
4992,one dont pick up the phone
4993,you know hes only calling cause hes drunk and alone
4994,two dont let him in
4995,youll have to kick him out again
4996,three dont be his friend
4997,you know youre gonna wake up in his bed in the morning
4998,and if youre under him you aint getting over him
4999,ive got new rules i count em
5000,ive got new rules i count em
5001,are you that somebody 
5002,tell me are you that somebody 
5003,ive got new rules i count em
5004,are you that somebody 
5005,ive gotta tell them to myself 
5006,if i let you know
5007,you cant tell nobody
5008,im talking bout nobody
5009,are you responsible 
5010,boy i gotta watch my back
5011,cause im not just anybody
5012,one dont pick up the phone
5013,you know hes only calling cause hes drunk and alone
5014,two dont let him in
5015,youll have to kick him out again
5016,three dont be his friend
5017,you know youre gonna wake up in his bed in the morning
5018,and if youre under him you aint getting over him
5019,i got new rules i count em
5020,yeah oh 
5021,ive got new rules i count em baby 
5022,hes drunk and alone so
5023,dont pick up the phone
5024,ive got new rules i count em
5025,have you got color in your cheeks 
5026,do you ever get the fear that you cant shift the type
5027,that sticks around like summat in your teeth 
5028,are there some aces up your sleeve 
5029,have you no idea that youre in deep 
5030,ive dreamt about you nearly every night this week
5031,how many secrets can you keep 
5032,cause theres this tune i found
5033,that makes me think of you somehow
5034,and i play it on repeat
5035,until i fall asleep
5036,spilling drinks on my settee
5037,do i wanna know 
5038,if this feeling flows both ways 
5039,sad to see you go
5040,was sorta hoping that you d stay
5041,baby we both know
5042,that the nights were mainly made
5043,for saying things that you can t say tomorrow day
5044,crawling back to you
5045,ever thought of calling when youve had a few 
5046,cause i always do
5047,maybe im too busy being yours to fall for somebody new
5048,now ive thought it through
5049,crawling back to you
5050,so have you got the guts 
5051,been wondering if your hearts still open
5052,and if so i wanna know what time it shuts
5053,simmer down and pucker up
5054,im sorry to interrupt its just im constantly on the cusp
5055,of trying to kiss you
5056,i dont know if you feel the same as i do
5057,we could be together if you wanted to
5058,do i wanna know 
5059,if this feeling flows both ways 
5060,sad to see you go
5061,was sorta hoping that you d stay
5062,baby we both know
5063,that the nights were mainly made
5064,for saying things that you can t say tomorrow day
5065,crawling back to you
5066,ever thought of calling when youve had a few 
5067,cause i always do
5068,maybe im too busy being yours to fall for somebody new
5069,now ive thought it through
5070,baby you should leave this girl alone
5071,but you wont won t wont
5072,but you dont don t dont
5073,now delete my number from your phone
5074,but you wont wont wont
5075,you gotta go go go
5076,oh my my my
5077,gonna spell it right out
5078,i dont know what youre looking for
5079,but i dont think it s me
5080,i wish i could give you my all
5081,not good at make believe
5082,i don t feel how you feel
5083,im just telling it like it is
5084,i don t need you to say those words over
5085,im just telling it like it is
5086,boy man up
5087,youre not some animal
5088,no no no no no no
5089,rather die a thousand times tonight
5090,than take you home than take you home
5091,these walls i build theyre never coming down
5092,i don t know what youre looking for
5093,but i dont think its me
5094,i wish i could give you my all
5095,not good at make believe
5096,i dont feel how you feel
5097,im just telling it like it is
5098,i dont need you to say those words over
5099,im just telling it like it is
5100,im not messed up baby im not heartless
5101,just not ready to start looking for apartments
5102,im into shopping but no baby departments
5103,bang i tell it like it is
5104,im not messed up baby im not heartless
5105,just not ready to start looking for apartments
5106,im into shopping but no baby departments
5107,bang i tell it like it is i tell it like it is
5108,cause i dont know what youre looking for
5109,but i dont think its me
5110,i wish i could give you my all
5111,not good at make believe
5112,i dont feel how you feel
5113,im just telling it like it is
5114,i dont need you to say those words over
5115,i dont know what youre looking for
5116,but i dont think its me
5117,i wish i could give you my all
5118,not good at make believe
5119,i dont feel how you feel
5120,im just telling it like it is
5121,i dont need you to say those words over
5122,im just telling it like it is
5123,hey 
5124,mmh yeah
5125,ooh ooh yeah
5126,why should i go and settle for glitter
5127,when i could shine like gold 
5128,why should i wait around and just sit here
5129,when i could save my soul 
5130,so tonight
5131,imma breathe you in til im high
5132,imma lose myself to the light
5133,til im seeing stars in my eyes
5134,i i
5135,i do i do what i like
5136,lets go have some fun tonight
5137,im trying with different lights
5138,but you can bet ill try it twice
5139,hold my hand its alright
5140,well be good for tonight
5141,cause were high and were wild and were free
5142,hold my hand its alright
5143,well be good for tonight
5144,cause were high and were wild and were free
5145,hey 
5146,i know it all could be gone in a minute
5147,i wanna live out loud no no no
5148,i gotta get what i want when i want it
5149,and you cant hold me down
5150,so tonight
5151,imma breathe you in til im high
5152,imma lose myself to the light
5153,til im seeing stars in my eyes
5154,so what we say hey
5155,i do i do what i like
5156,lets go have some fun tonight
5157,im trying with different lights
5158,that you can bet ill try it twice
5159,hold my hand its alright
5160,well be good for tonight
5161,cause were high and were wild and were free 
5162,hold my hand its alright
5163,well be good for tonight
5164,cause were high and were wild and were free
5165,i just wanna have fun
5166,when it comes to my vices
5167,ill try anything once
5168,maybe twice if i like it 
5169,cause i wanna have fun
5170,yeah whatever the price is 
5171,ill try anything once
5172,maybe twice if i like it 
5173,just wanna have fun 
5174,when it comes to my vices
5175,ill try anything once 
5176,maybe twice if i like it
5177,cause i wanna have fun 
5178,yeah whatever the price is
5179,ill try anything once
5180,hold my hand its alright
5181,well be good for tonight
5182,cause were high and were wild and were free 
5183,hold my hand its alright
5184,well be good for tonight
5185,cause were high and were wild and were free
5186,lemme hear you say it
5187,do what i want when i want when i want it
5188,do what i want when i want when i want it
5189,do what i want when i want when i want it
5190,do what i want when i want when i want it
5191,high wild free
5192,yeah yeah yeah yeah
5193,hey 
5194,uh uh hey
5195,and you can bet ill try it twice
5196,you call me all friendly
5197,tellin me how much you miss me
5198,thats funny i guess youve heard my songs
5199,well im too busy for your business
5200,go find a girl who wants to listen
5201,cause if you think i was born yesterday you have got me wrong
5202,so i cut you off
5203,i dont need your love
5204,so you can try all you want
5205,your time is up ill tell you why
5206,you say youre sorry but its too late now
5207,so save it get gone shut up
5208,cause if you think i care about you now
5209,well boy i dont give a fuck
5210,et depuis quelque temps nos relations n sont pas terribles
5211,pourtant je te console comme on le voit dans les films
5212,comment tu veux qu j le prenne quand tu m appelles mon chéri
5213,alors qu il y a quelques minutes on était comme sur un ring 
5214,et tu sais bien qu j aime pas qu on se prenne la tête devant nos amis
5215,alors prends ta veste et rejoins moi tout de suite derrière la son mai
5216,j crois qu il est temps quon récolte tout ce qu on a semé
5217,depuis toutes ces années on s demandait où ça nous menait
5218,moi jai fait le tour de tous tes mensonges
5219,et tu voudrais quon se lance
5220,ton amour je men lave les mains et tu ten mords les doigts
5221,oui jai fait le tour de tous tes mensonges
5222,pas moyen que je replonge
5223,je veux te dire une dernière fois
5224,you say youre sorry but its too late now
5225,so save it get gone shut up
5226,cause if you think i care about you now
5227,well boy i dont give a fuck
5228,tu mamuses tu accuses
5229,lalcool cest ça ton excuse
5230,est ce quil y a des filles que ça amuse 
5231,mec tu taccroches je raccroche
5232,même quand tes loin tes tout proche
5233,le pardon est un don dont je ne me servirai pas
5234,j espère que le temps te permettra de changer
5235,j ai tourné la page pour plus tomber
5236,j espère que le temps te permettra de changer
5237,j ai tourné la page pour plus tomber
5238,you say youre sorry but its too late now
5239,so save it get gone shut up 
5240,cause if you think i care about you now
5241,well boy i dont give a fuck 
5242,je me fous de cquelle te dit
5243,je me fous que ton cœur vrille
5244,boy i dont give a fuck
5245,j espère que le temps te permettra de changer
5246,j ai tourné la page pour plus tomber
5247,mais quest ce que tas pas compris 
5248,comment faut qujte ldise 
5249,boy i dont give a fuck
5250,homegirl on the road she doin promo
5251,you said keep our business on the low low
5252,im just tryna get you out the friend zone
5253,cause you look even better than the photos
5254,i cant find your house send me the info
5255,drivin through the gated residential
5256,found out i was comin sent your friends home
5257,keep on tryna hide it but your friends know
5258,i only call you when its half past five
5259,the only time id ever call you mine
5260,i only love it when you touch me not feel me
5261,cause im messed up thats the real me
5262,cause im messed up thats the real me babe
5263,i only love you when its half past five
5264,the only time id ever call you mine
5265,i only love it when you touch me not feel me
5266,cause im messed up thats the real me
5267,cause im messed up thats the real me babe
5268,ima let you know and keep it simple
5269,tryna keep it up dont seem so simple
5270,i just keep my business on the low low
5271,you gon have to do it at my tempo
5272,always tryna send me off to rehab
5273,love started feelin like its decaf
5274,im just tryna live life for the moment
5275,and all those and their mothers want a relapse
5276,i only call you when its half past five
5277,the only time id ever call you mine
5278,i only love it when you touch me not feel me
5279,cause im messed up thats the real me
5280,cause im messed up thats the real me babe
5281,i only love you when its half past five
5282,the only time id ever call you mine
5283,i only love it when you touch me not feel me
5284,cause im messed up thats the real me
5285,cause im messed up thats the real me babe
5286,hills have eyes the hills have eyes
5287,who are you to judge who are you to judge 
5288,hide your lies boy hide your lies
5289,only you to trust only you
5290,i only call you when its half past five
5291,the only time id ever call you mine
5292,i only love it when you touch me not feel me
5293,cause im messed up thats the real me
5294,cause im messed up thats the real me babe
5295,i only love you when its half past five
5296,the only time id ever call you mine
5297,i only love it when you touch me not feel me
5298,cause im messed up thats the real me
5299,cause im messed up thats the real me babe
5300,thats the real me babe
5301,ive been rollin on the freeway
5302,ive been riding 85
5303,ive been thinking way too much
5304,and im way too gone to drive
5305,ive got anger in my chest
5306,ive got millions on my mind
5307,and you didnt fit the picture
5308,so i guess you werent the vibe
5309,ive been rollin on the freeway
5310,ive been riding 85
5311,ive been thinking way too much
5312,and im way too gone to drive
5313,ive got anger in my chest
5314,ive got millions on my mind
5315,and you didnt fit the picture
5316,so i guess you werent the vibe
5317,did you see what i done 
5318,came in a black benz left in a white one
5319,im just a hoodlum i came with my bonsam
5320,my gallies wanna try some
5321,did you see what i done 
5322,came in a black benz left in a white one
5323,im just a hoodlum i came with my bonsam
5324,my gallies wanna try some
5325,came here just to sing for clara
5326,lookin for the baddest diva
5327,hol up let me analyse her body lookin like a hypnotiser
5328,come let me try some suttin you can climb on
5329,oh youre a shy one who you tryna hide from 
5330,baby jump in the black ride and put your friend in the white one
5331,im a benzo addict pulled up in traffic
5332,me and my friends switched cars and it looked like magic
5333,they never seen such a skinny man in a big puffer jacket
5334,thats unfamiliar i came lookin like a bodybuilder
5335,out heres windy yana youre the one that im into yana
5336,dont you wanna see the interior 
5337,did you see what i done 
5338,came in a black benz left in a white one
5339,im just a hoodlum i came with my bonsam
5340,my gallies wanna try some
5341,did you see what i done 
5342,came in a black benz left in a white one
5343,im just a hoodlum i came with my bonsam
5344,my gallies wanna try some oh hey
5345,ive been rollin on the freeway
5346,ive been riding 85
5347,ive been thinking way too much
5348,and im way too gone to drive
5349,ive got anger in my chest
5350,ive got millions on my mind
5351,and you didnt fit the picture
5352,so i guess you werent the vibe hey
5353,did you see what i done 
5354,came in a black benz left in a white one
5355,im just a hoodlum i came with my bonsam
5356,my gallies wanna try some
5357,did you see what i done 
5358,came in a black benz left in a white one
5359,im just a hoodlum i came with my bonsam
5360,my gallies wanna try some
5361,smoke a j for breakfast
5362,only thing that keeps me sane
5363,feeling kind of reckless
5364,dont you know im not okay 
5365,i havent found anything strong enough
5366,days and nights are borderlines without your love
5367,cruisin at a hundred
5368,it doesnt even feel that fast
5369,adrenaline is pumping
5370,kind of hoping that i crash into the water
5371,i would rather drown
5372,cause anything is better than coming coming down
5373,i cant get high i cant get high i cant get high 
5374,it fucking hurts these drugs dont work i dont know why 
5375,excuse me if i overdose
5376,it happens every time you go
5377,hard as i try
5378,i cant get high high high high
5379,i cant get high
5380,i dont know why
5381,have a tab for dinner
5382,it doesnt really work too well
5383,feeling like a sinner
5384,goddamn it hurts like hell
5385,it must be past the point of no return
5386,all this medication only makes it worse
5387,if youve got a remedy then tell me now
5388,cause anything is better than coming coming down
5389,i cant get high i cant get high i cant get high 
5390,it fucking hurts these drugs dont work i dont know why 
5391,excuse me if i overdose
5392,it happens every time you go
5393,hard as i try
5394,i cant get high high high high
5395,i cant get high
5396,i cant get high i cant get high i cant get high i cant
5397,i cant get high i cant get high i cant get high
5398,cause youre the only thing that makes me feel alive
5399,i cant get high i cant get high i cant get high 
5400,it fucking hurts these drugs dont work i dont know why
5401,excuse me if i overdose
5402,it happens every time you go
5403,hard as i try
5404,i cant get high high high high
5405,i look in the mirror
5406,all i see is nothing
5407,i look out the window for some peace
5408,but all i find is nothing
5409,then you take my hand and suddenly i feel something
5410,side by side lying next to you
5411,i feel something
5412,all i need is you to protect me til tomorrow
5413,all i need is some comfort from my sorrow
5414,all i need is you to hold me through my nightmares
5415,i need you to keep me safe from lions and tigers and bears
5416,all i need is you to protect me til tomorrow
5417,all i need is some comfort from my sorrow
5418,all i need is you to hold me through my nightmares
5419,i need you to keep me safe from lions and tigers and bears
5420,then you take my hand and suddenly i feel something
5421,side by side lying next to you
5422,i feel something
5423,all i need is you to protect me til tomorrow
5424,all i need is some comfort from my sorrow
5425,all i need is you to hold me through my nightmares
5426,i need you to keep me safe from lions and tigers and bears
5427,all i need is you to protect me til tomorrow
5428,all i need is some comfort from my sorrow
5429,all i need is you to hold me through my nightmares
5430,i need you to keep me safe from lions and tigers and bears
5431,see i gotta be outta my head to deal with ya
5432,and i gotta be outta my head to be still with ya
5433,see i love you but i dont like that
5434,i leave but then i come right back to you
5435,so what is the point i might as well sit here and roll me a joint
5436,or pour me a drink
5437,so i can get wasted and dont have to think no more
5438,get high as a plane
5439,cause sober we drive each other insane
5440,and we know if we dont we gon start fighting again
5441,so either we smoke drink or we break up
5442,either we smoke drink or we break up
5443,cause the only time we dont fight
5444,is when we drunk or we high oh why
5445,smoke or we drink or we break up
5446,either we smoking or we drinking or we at each others throat
5447,either we smoking or we drinking or we at each others throat
5448,either we smoking or we drinking or we at each others throat
5449,either we smoking or we drinking or we at each others throat
5450,lets go
5451,ive gotta be outta my head to deal with ya
5452,and ive gotta be outta my head to be still with you
5453,see i love you but i dont like that
5454,keep leaving coming right back to you
5455,so i roll me swisher pour me some liquor before we start to bicker
5456,and calling each other out our names like bitches and n 
5457,arguing over all that small shit keeps getting bigger
5458,corona out the kitchen
5459,so either we smoke drink or we break up
5460,either we smoke drink or we break up
5461,cause the only time we dont fight
5462,is when we drunk or we high oh why
5463,smoke or we drink or we break up
5464,either we smoking or we drinking or we at each others throat
5465,either we smoking or we drinking or we at each others throat
5466,either we smoking or we drinking or we at each others throat
5467,either we smoking or we drinking or we at each others throat
5468,boy we only get along when we high oh yeah
5469,boy we only get along when we high
5470,either we smoking oh
5471,so either we smoke drink or we break up
5472,either we smoke drink or we break up
5473,cause the only time we dont fight
5474,is when we drinking or high oh why
5475,smoke or we drink or we break up
5476,either we smoking or we drinking or we at each others throat
5477,either we smoking or we drinking or we at each others throat
5478,either we smoking or we drinking or we at each others throat
5479,either we smoking or we drinking or we at each others throat
5480,leggo
5481,thug love thug love thug love
5482,kiss you goodbye dont start to cry
5483,got company
5484,i gotta run i gotta run
5485,they are after me
5486,its not about you ooh
5487,its not about you ooh
5488,its about me
5489,im wanted baby
5490,most wanted baby
5491,all these people so quick to judge me
5492,getting caught up on la money
5493,fake ass fiction saying that they love me oh
5494,they dont even know who i am
5495,they dont even know who i am
5496,they dont even know who i am
5497,they dont even know who i am
5498,my famous friends forgot again
5499,that everybody dies
5500,whats happening is not what you see
5501,all the pictures lie yeah
5502,its not about you ooh
5503,its not about you ooh
5504,its about me
5505,im wantеd baby
5506,most wanted baby
5507,all these pеople so quick to judge me
5508,getting caught up on la money
5509,fake ass fiction saying that they love me oh
5510,they dont even know who i am
5511,they dont even know who i am
5512,they dont even know who i am
5513,they dont even know who i am
5514,hanging out young miracles
5515,got our faces on the billboards
5516,hanging out never going home
5517,yeah
5518,all these people so quick to judge me
5519,getting caught up on la money
5520,fake ass fiction saying that they love me oh
5521,they dont even know who i am
5522,they dont even know who i am
5523,they dont even know who i am
5524,they dont even know who i am
5525,all these people so quick to judge me
5526,getting caught up on la money
5527,cab radio screaming
5528,noise and tears
5529,death on the tv
5530,and then theres you
5531,messed up its crazy
5532,i cant concentrate
5533,i just see your outline 
5534,mhmm
5535,back where we left off
5536,watch you take your dress off
5537,ive been by myself remembering you
5538,your body hurts me
5539,loopin round like cctv
5540,in all this bitterness you stay so sweet
5541,such a cruel world
5542,savin all my love for you girl
5543,uh its such a cruel world
5544,maybe i found somethin good girl
5545,uh uh uh uh
5546,some prick at the party
5547,all scripts and boasts
5548,a dead eyed actress girl
5549,and then theres you
5550,venus in converse
5551,you put a spell on me
5552,and youre lockin up the bathroom door for us
5553,back where we left off
5554,watch you take your dress off
5555,ive been by myself remembering you
5556,your body hurts me
5557,loopin round like cctv
5558,in all this bitterness you stay so sweet
5559,such a cruel world
5560,savin all my love for you girl
5561,uh its such a cruel world
5562,maybe i found somethin good girl
5563,its such a cruel world
5564,hey hey hey
5565,its such a cruel world
5566,hey hey hey
5567,sunrise in hollywood
5568,we aint slept for days
5569,perfect disaster
5570,me and you
5571,oh oh oh oh oh
5572,its such a cruel world
5573,savin all my love for you girl
5574,uh its such a cruel world
5575,maybe i found somethin good girl
5576,its such a cruel world
5577,savin all my love for you girl
5578,its such a cruel world
5579,maybe i found somethin good girl
5580,uh uh uh uh
5581,sunrise in hollywood
5582,we aint slept for days
5583,caring about me now
5584,walk away you know how
5585,common love isnt for us
5586,we created something phenomenal
5587,dont you agree 
5588,dont you agree 
5589,you got me feeling diamond rich
5590,nothing on this planet compares to it
5591,dont you agree 
5592,dont you agree 
5593,who needs sleep sleep sleep 
5594,all night ill riot with you
5595,i know you got my back and you know i got you
5596,so come on come on come on 
5597,lets get physical
5598,lights out follow the noise
5599,baby keep on dancing like you aint got a choice
